Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3268,Halloween,2600,1982,Action,Wizard Video Games,0.58,0.03,0,0.01,0.62
3449,Q*bert,2600,1982,Puzzle,Parker Bros.,0.55,0.03,0,0.01,0.58
3645,The Activision Decathlon,2600,1982,Sports,Activision,0.52,0.03,0,0.01,0.55
3718,Action Force,2600,1982,Action,CPG Products,0.5,0.03,0,0.01,0.54
3750,Popeye,2600,1982,Platform,Parker Bros.,0.5,0.03,0,0.01,0.54
3968,Chopper Command,2600,1982,Shooter,Activision,0.47,0.03,0,0.01,0.5
4015,RealSports Tennis,2600,1982,Sports,Atari,0.46,0.03,0,0.01,0.5
4018,Gauntlet,2600,1982,Action,Answer Software,0.46,0.03,0,0.01,0.5
4803,Congo Bongo,2600,1982,Action,Sega,0.37,0.02,0,0,0.4
4896,Bump 'n' Jump,2600,1982,Racing,Mattel Interactive,0.37,0.02,0,0,0.39
5066,Gravitar,2600,1982,Action,Atari,0.35,0.02,0,0,0.38
5383,Alien's Return,2600,1982,Action,ITT Family Games,0.32,0.02,0,0,0.34
5397,Bank Heist,2600,1982,Action,20th Century Fox Video Games,0.32,0.02,0,0,0.34
5660,Frankenstein's Monster,2600,1982,Action,Data Age,0.3,0.02,0,0,0.32
5775,Mountain King,2600,1982,Action,CBS Electronics,0.29,0.02,0,0,0.31
6147,Polaris,2600,1982,Action,Tigervision,0.26,0.02,0,0,0.28
6267,Mr. Do!,2600,1982,Action,Coleco,0.26,0.02,0,0,0.27
6730,Porky's,2600,1982,Action,20th Century Fox Video Games,0.23,0.01,0,0,0.25
7151,Assault,2600,1982,Action,Bomb,0.21,0.01,0,0,0.22
8460,Death Trap,2600,1982,Action,Avalon Interactive,0.15,0.01,0,0,0.17
8760,Pressure Cooker,2600,1982,Action,Activision,0.14,0.01,0,0,0.15
9108,Krull,2600,1982,Action,Atari,0.13,0.01,0,0,0.14
422,Baseball,NES,1983,Sports,Nintendo,0.73,0.1,2.35,0.02,3.2
702,Mario Bros.,NES,1983,Platform,Nintendo,0.51,0.12,1.63,0.02,2.28
765,Mahjong,NES,1983,Misc,Nintendo,0.01,0,2.13,0,2.14
1510,Pitfall II: Lost Caverns,2600,1983,Platform,Activision,1.22,0.07,0,0.02,1.31
1811,Donkey Kong,NES,1983,Platform,Nintendo,0.23,0.05,0.84,0.01,1.13
1841,Donkey Kong Jr.,NES,1983,Platform,Nintendo,0.33,0.07,0.7,0.01,1.11
1863,Popeye,NES,1983,Platform,Nintendo,0.51,0.12,0.45,0.02,1.1
2654,Jr. Pac-Man,2600,1983,Puzzle,Atari,0.72,0.05,0,0.01,0.78
